;hourly_mean;daily_mean;equivalent_rolling_weighted_mean
2017-03-09 01:00:00;6.046913580246914;7.293780006858711;5.6335429526748975
2017-03-09 02:00:00;6.05761316872428;7.293780006858711;5.6335429526748975
2017-03-09 03:00:00;6.00679012345679;7.293780006858711;5.6335429526748975
2017-03-09 04:00:00;5.8559670781893;7.293780006858711;5.6335429526748975
2017-03-09 05:00:00;5.709259259259259;7.293780006858711;5.6335429526748975
2017-03-09 06:00:00;5.533333333333334;7.293780006858711;5.6335429526748975
2017-03-09 07:00:00;5.765637860082304;7.293780006858711;5.6335429526748975
2017-03-09 08:00:00;6.294650205761316;7.293780006858711;5.6335429526748975
2017-03-09 09:00:00;6.903497942386832;7.293780006858711;5.6335429526748975
2017-03-09 10:00:00;7.535802469135802;7.293780006858711;5.6335429526748975
2017-03-09 11:00:00;8.174691358024692;7.293780006858711;5.6335429526748975
2017-03-09 12:00:00;8.782304526748973;7.293780006858711;5.6335429526748975
2017-03-09 13:00:00;9.259876543209877;7.293780006858711;5.6335429526748975
2017-03-09 14:00:00;9.57551440329218;7.293780006858711;5.6335429526748975
2017-03-09 15:00:00;9.616460905349795;7.293780006858711;5.6335429526748975
2017-03-09 16:00:00;9.379218106995884;7.293780006858711;5.6335429526748975
2017-03-09 17:00:00;8.827572016460907;7.293780006858711;5.6335429526748975
2017-03-09 18:00:00;8.230041152263375;7.293780006858711;5.6335429526748975
2017-03-09 19:00:00;7.845679012345679;7.293780006858711;5.6335429526748975
2017-03-09 20:00:00;7.454320987654321;7.293780006858711;5.6335429526748975
2017-03-09 21:00:00;7.115432098765431;7.293780006858711;5.6335429526748975
2017-03-09 22:00:00;6.758744855967078;7.293780006858711;5.6335429526748975
2017-03-09 23:00:00;6.360699588477367;7.293780006858711;5.6335429526748975
2017-03-10 00:00:00;5.97716049382716;5.443681412894375;5.709836248285322
2017-03-10 01:00:00;5.624074074074074;5.443681412894375;5.709836248285322
2017-03-10 02:00:00;5.223456790123458;5.443681412894375;5.709836248285322
2017-03-10 03:00:00;4.8954732510288075;5.443681412894375;5.709836248285322
2017-03-10 04:00:00;4.559465020576131;5.443681412894375;5.709836248285322
2017-03-10 05:00:00;4.222839506172839;5.443681412894375;5.709836248285322
2017-03-10 06:00:00;3.8940329218106995;5.443681412894375;5.709836248285322
2017-03-10 07:00:00;4.086213991769547;5.443681412894375;5.709836248285322
2017-03-10 08:00:00;4.867489711934156;5.443681412894375;5.709836248285322
2017-03-10 09:00:00;5.618312757201646;5.443681412894375;5.709836248285322
2017-03-10 10:00:00;6.268106995884774;5.443681412894375;5.709836248285322
2017-03-10 11:00:00;6.988888888888889;5.443681412894375;5.709836248285322
2017-03-10 12:00:00;7.666666666666667;5.443681412894375;5.709836248285322
2017-03-10 13:00:00;8.210905349794238;5.443681412894375;5.709836248285322
2017-03-10 14:00:00;8.563168724279837;5.443681412894375;5.709836248285322
2017-03-10 15:00:00;8.593004115226336;5.443681412894375;5.709836248285322
2017-03-10 16:00:00;8.274074074074075;5.443681412894375;5.709836248285322
2017-03-10 17:00:00;7.196913580246914;5.443681412894375;5.709836248285322
2017-03-10 18:00:00;5.428189300411522;5.443681412894375;5.709836248285322
2017-03-10 19:00:00;4.248148148148149;5.443681412894375;5.709836248285322
2017-03-10 20:00:00;3.3936213991769546;5.443681412894375;5.709836248285322
2017-03-10 21:00:00;2.7265432098765436;5.443681412894375;5.709836248285322
2017-03-10 22:00:00;2.260699588477366;5.443681412894375;5.709836248285322
2017-03-10 23:00:00;1.860905349794239;5.443681412894375;5.709836248285322
2017-03-11 00:00:00;1.5111111111111113;4.695173182441701;5.287424768518519
2017-03-11 01:00:00;1.282716049382716;4.695173182441701;5.287424768518519
2017-03-11 02:00:00;1.044238683127572;4.695173182441701;5.287424768518519
2017-03-11 03:00:00;0.9298353909465021;4.695173182441701;5.287424768518519
2017-03-11 04:00:00;0.8602880658436215;4.695173182441701;5.287424768518519
2017-03-11 05:00:00;0.7362139917695474;4.695173182441701;5.287424768518519
2017-03-11 06:00:00;0.7228395061728395;4.695173182441701;5.287424768518519
2017-03-11 07:00:00;1.458641975308642;4.695173182441701;5.287424768518519
2017-03-11 08:00:00;3.1670781893004123;4.695173182441701;5.287424768518519
2017-03-11 09:00:00;5.090123456790124;4.695173182441701;5.287424768518519
2017-03-11 10:00:00;6.827366255144033;4.695173182441701;5.287424768518519
2017-03-11 11:00:00;8.240534979423867;4.695173182441701;5.287424768518519
2017-03-11 12:00:00;9.136831275720164;4.695173182441701;5.287424768518519
2017-03-11 13:00:00;9.728395061728396;4.695173182441701;5.287424768518519
2017-03-11 14:00:00;10.015637860082306;4.695173182441701;5.287424768518519
2017-03-11 15:00:00;9.948559670781894;4.695173182441701;5.287424768518519
2017-03-11 16:00:00;9.385185185185184;4.695173182441701;5.287424768518519
2017-03-11 17:00:00;8.039506172839506;4.695173182441701;5.287424768518519
2017-03-11 18:00:00;6.2176954732510294;4.695173182441701;5.287424768518519
2017-03-11 19:00:00;5.086625514403293;4.695173182441701;5.287424768518519
2017-03-11 20:00:00;4.275925925925926;4.695173182441701;5.287424768518519
2017-03-11 21:00:00;3.5331275720164608;4.695173182441701;5.287424768518519
2017-03-11 22:00:00;2.959670781893004;4.695173182441701;5.287424768518519
2017-03-11 23:00:00;2.486008230452675;4.695173182441701;5.287424768518519
2017-03-12 00:00:00;2.0146090534979426;4.359152091906721;4.769369212962962
2017-03-12 01:00:00;1.61440329218107;4.359152091906721;4.769369212962962
2017-03-12 02:00:00;1.198971193415638;4.359152091906721;4.769369212962962
2017-03-12 03:00:00;0.8049382716049384;4.359152091906721;4.769369212962962
2017-03-12 04:00:00;0.5010288065843621;4.359152091906721;4.769369212962962
2017-03-12 05:00:00;0.2450617283950617;4.359152091906721;4.769369212962962
2017-03-12 06:00:00;0.11069958847736623;4.359152091906721;4.769369212962962
2017-03-12 07:00:00;1.252880658436214;4.359152091906721;4.769369212962962
2017-03-12 08:00:00;3.087654320987655;4.359152091906721;4.769369212962962
2017-03-12 09:00:00;4.939506172839507;4.359152091906721;4.769369212962962
